epoch,parameter,representation,mean,std,min,max
0,field.gain1_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain1_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.gain12_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain12_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.gain2_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.gain2_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.bias1,raw,0.0,0.0,0.0,0.0
0,field.bias1,effective,0.0,0.0,0.0,0.0
0,field.bias2,raw,0.0,0.0,0.0,0.0
0,field.bias2,effective,0.0,0.0,0.0,0.0
1,field.gain1_raw,raw,-2.1962099075317383,0.0,-2.1962099075317383,-2.1962099075317383
1,field.gain1_raw,effective,0.1000913605093956,0.0,0.1000913605093956,0.1000913605093956
1,field.gain12_raw,raw,-2.1981077194213867,0.0,-2.1981077194213867,-2.1981077194213867
1,field.gain12_raw,effective,0.09992054849863052,0.0,0.09992054849863052,0.09992054849863052
1,field.gain2_raw,raw,-2.1966183185577393,0.0,-2.1966183185577393,-2.1966183185577393
1,field.gain2_raw,effective,0.10005456954240799,0.0,0.10005456954240799,0.10005456954240799
1,field.bias1,raw,9.4103321316652e-05,0.0005623030010610819,-0.0007807085639797151,0.0009201211505569518
1,field.bias1,effective,9.4103321316652e-05,0.0005623030010610819,-0.0007807085639797151,0.0009201211505569518
1,field.bias2,raw,-1.0282012226525694e-05,0.0004773820110131055,-0.0006801620475016534,0.0005504204309545457
1,field.bias2,effective,-1.0282012226525694e-05,0.0004773820110131055,-0.0006801620475016534,0.0005504204309545457
