epoch,parameter,representation,mean,std,min,max
0,field.relation_gain_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.relation_gain_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.branch_bias,raw,0.0,0.0,0.0,0.0
0,field.branch_bias,effective,0.0,0.0,0.0,0.0
1,field.relation_gain_raw,raw,-2.196218490600586,0.0,-2.196218490600586,-2.196218490600586
1,field.relation_gain_raw,effective,0.10009058564901352,0.0,0.10009058564901352,0.10009058564901352
1,field.branch_bias,raw,-4.060103674419224e-05,0.0006491104140877724,-0.00097887113224715,0.0006748521118424833
1,field.branch_bias,effective,-4.060103674419224e-05,0.0006491104140877724,-0.00097887113224715,0.0006748521118424833
