epoch,parameter,representation,mean,std,min,max
0,field.theta_raw,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
0,field.theta_raw,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
0,field.strength_raw,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
0,field.strength_raw,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
0,field.decay_raw,raw,1.3862943649291992,0.0,1.3862943649291992,1.3862943649291992
0,field.decay_raw,effective,0.800000011920929,0.0,0.800000011920929,0.800000011920929
0,field.rho_raw,raw,-1.8211826086044312,0.0,-1.8211826086044312,-1.8211826086044312
0,field.rho_raw,effective,0.15000000596046448,0.0,0.15000000596046448,0.15000000596046448
0,field.beta_raw,raw,0.5413248538970947,0.0,0.5413248538970947,0.5413248538970947
0,field.beta_raw,effective,1.0,0.0,1.0,1.0
0,field.gamma_raw,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
0,field.gamma_raw,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
1,field.theta_raw,raw,-0.42610251903533936,0.00472291000187397,-0.43829092383384705,-0.42089033126831055
1,field.theta_raw,effective,0.5026243925094604,0.0018638679757714272,0.4978243112564087,0.5046840310096741
1,field.strength_raw,raw,-0.43812108039855957,0.005180137697607279,-0.44443291425704956,-0.4217936396598816
1,field.strength_raw,effective,0.49789413809776306,0.0020339535549283028,0.4954202473163605,0.5043261647224426
1,field.decay_raw,raw,1.3873271942138672,0.0074427444487810135,1.3752444982528687,1.3983154296875
1,field.decay_raw,effective,0.8001625537872314,0.001189796021208167,0.7982261180877686,0.8019164204597473
1,field.rho_raw,raw,-1.831972599029541,0.0,-1.831972599029541,-1.831972599029541
1,field.rho_raw,effective,0.14850400388240814,0.0,0.14850400388240814,0.14850400388240814
1,field.beta_raw,raw,0.551571786403656,0.0,0.551571786403656,0.551571786403656
1,field.beta_raw,effective,1.0064895153045654,0.0,1.0064895153045654,1.0064895153045654
1,field.gamma_raw,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
1,field.gamma_raw,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
