epoch,parameter,representation,mean,std,min,max
0,field.relation_gain_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
0,field.relation_gain_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
0,field.branch_bias,raw,0.0,0.0,0.0,0.0
0,field.branch_bias,effective,0.0,0.0,0.0,0.0
1,field.relation_gain_raw,raw,-2.1972246170043945,0.0,-2.1972246170043945,-2.1972246170043945
1,field.relation_gain_raw,effective,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612
1,field.branch_bias,raw,0.0,0.0,0.0,0.0
1,field.branch_bias,effective,0.0,0.0,0.0,0.0
