epoch,parameter,representation,mean,std,min,max
0,1.field.theta,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
0,1.field.theta,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
0,1.field.g_raw,raw,0.0,0.0,0.0,0.0
0,1.field.g_raw,effective,1.0,0.0,1.0,1.0
1,1.field.theta,raw,-0.42155489325523376,0.0020266713108867407,-0.4351700246334076,-0.42074495553970337
1,1.field.theta,effective,0.5044212937355042,0.0008012400357984006,0.4990493655204773,0.5047416687011719
1,1.field.g_raw,raw,-0.0003008260973729193,0.0033831659238785505,-0.010929245501756668,0.009548773057758808
1,1.field.g_raw,effective,0.9998496174812317,0.001691573765128851,0.9945354461669922,1.0047743320465088
