epoch,parameter,representation,mean,std,min,max
0,field.theta_raw,raw,-0.4327521324157715,0.0,-0.4327521324157715,-0.4327521324157715
0,field.theta_raw,effective,0.4999999701976776,0.0,0.4999999701976776,0.4999999701976776
0,field.strength_raw,raw,0.5493061542510986,0.0,0.5493061542510986,0.5493061542510986
0,field.strength_raw,effective,1.0050525665283203,0.0,1.0050525665283203,1.0050525665283203
0,field.decay_raw,raw,1.3862943649291992,0.0,1.3862943649291992,1.3862943649291992
0,field.decay_raw,effective,0.800000011920929,0.0,0.800000011920929,0.800000011920929
0,field.sign_raw,raw,0.0,2.0,-2.0,2.0
0,field.sign_raw,effective,0.0,0.9640275835990906,-0.9640275835990906,0.9640275835990906
1,field.theta_raw,raw,-0.43268653750419617,0.0007332070381380618,-0.4338952898979187,-0.43161600828170776
1,field.theta_raw,effective,0.5000258684158325,0.0002884780114982277,0.49955034255981445,0.500447154045105
1,field.strength_raw,raw,0.5492673516273499,0.0007433916325680912,0.5481804013252258,0.5504869222640991
1,field.strength_raw,effective,1.0050280094146729,0.0004713047528639436,1.0043389797210693,1.0058012008666992
1,field.decay_raw,raw,1.3864028453826904,0.0006790612824261189,1.3852317333221436,1.3874728679656982
1,field.decay_raw,effective,0.8000173568725586,0.00010864545765798539,0.79982990026474,0.8001884818077087
1,field.sign_raw,raw,-0.0001996159553527832,1.9992525577545166,-2.0010316371917725,2.000136137008667
1,field.sign_raw,effective,-1.4126300811767578e-05,0.9639747142791748,-0.9641004204750061,0.9640371799468994
